Tm,Total_Int,Total_IntTD,Total_PD,Total_Sk,Total_Comb,Total_Solo
DAL,26.0,5.0,83.0,41.0,1000.0,672.0
NWE,22.0,3.0,86.0,34.0,1088.0,700.0
BUF,19.0,1.0,80.0,40.0,1005.0,692.0
LAR,19.0,0.0,70.0,43.0,1103.0,688.0
IND,19.0,0.0,69.0,33.0,1094.0,760.0
NOR,18.0,2.0,79.0,46.0,1057.0,697.0
GNB,18.0,2.0,74.0,37.0,995.0,702.0
TAM,17.0,2.0,85.0,47.0,1047.0,733.0
MIN,16.0,2.0,68.0,51.0,1197.0,757.0
HOU,16.0,1.0,58.0,29.0,1062.0,681.0
TEN,15.0,2.0,78.0,42.0,985.0,656.0
KAN,15.0,2.0,69.0,30.0,1039.0,679.0
NYG,15.0,1.0,82.0,33.0,1232.0,706.0
MIA,14.0,3.0,91.0,47.0,1092.0,691.0
DEN,13.0,1.0,73.0,29.0,935.0,597.0
ARI,13.0,1.0,73.0,40.0,1051.0,697.0
CIN,13.0,1.0,62.0,41.0,1077.0,692.0
CLE,13.0,1.0,79.0,43.0,1098.0,700.0
PIT,13.0,0.0,78.0,54.0,1171.0,772.0
ATL,12.0,2.0,76.0,17.0,1175.0,708.0
DET,11.0,0.0,67.0,30.0,1107.0,691.0
LAC,11.0,0.0,56.0,35.0,1155.0,732.0
SEA,11.0,0.0,79.0,33.0,1307.0,808.0
PHI,11.0,2.0,55.0,29.0,1133.0,652.0
WAS,11.0,2.0,61.0,37.0,1105.0,691.0
CAR,9.0,0.0,50.0,39.0,1046.0,657.0
BAL,9.0,1.0,71.0,32.0,1022.0,661.0
SFO,9.0,2.0,54.0,48.0,1088.0,682.0
CHI,8.0,1.0,56.0,49.0,1088.0,705.0
NYJ,7.0,1.0,59.0,29.0,1112.0,703.0
JAX,7.0,0.0,50.0,32.0,1130.0,711.0
LVR,6.0,0.0,69.0,34.5,1139.0,696.0
