Tm,Total_Sk,Total_FF,Total_TFL,Total_QBHits,Total_Comb,Total_PD
PIT,54.0,18.0,91.0,96.0,1171.0,78.0
MIN,51.0,13.0,60.0,100.0,1197.0,68.0
CHI,49.0,14.0,77.0,83.0,1088.0,56.0
SFO,48.0,22.0,98.0,102.0,1088.0,54.0
MIA,47.0,14.0,73.0,128.0,1092.0,91.0
TAM,47.0,16.0,81.0,127.0,1047.0,85.0
NOR,46.0,13.0,86.0,112.0,1057.0,79.0
LAR,43.0,13.0,67.0,84.0,1103.0,70.0
CLE,43.0,12.0,76.0,102.0,1098.0,79.0
TEN,42.0,13.0,66.0,92.0,985.0,78.0
CIN,41.0,16.0,80.0,99.0,1077.0,62.0
DAL,41.0,13.0,72.0,114.0,1000.0,83.0
BUF,40.0,12.0,91.0,90.0,1005.0,80.0
ARI,40.0,21.0,76.0,100.0,1051.0,73.0
CAR,39.0,14.0,84.0,94.0,1046.0,50.0
GNB,37.0,10.0,50.0,91.0,995.0,74.0
WAS,37.0,9.0,59.0,104.0,1105.0,61.0
LAC,35.0,19.0,65.0,89.0,1155.0,56.0
LVR,34.5,12.0,65.0,111.0,1139.0,69.0
NWE,34.0,11.0,55.0,83.0,1088.0,86.0
SEA,33.0,9.0,69.0,92.0,1307.0,79.0
NYG,33.0,12.0,52.0,78.0,1232.0,82.0
IND,33.0,18.0,56.0,86.0,1094.0,69.0
BAL,32.0,8.0,75.0,95.0,1022.0,71.0
JAX,32.0,7.0,62.0,83.0,1130.0,50.0
DET,30.0,10.0,55.0,60.0,1107.0,67.0
KAN,30.0,17.0,54.0,85.0,1039.0,69.0
NYJ,29.0,13.0,65.0,84.0,1112.0,59.0
DEN,29.0,5.0,52.0,66.0,935.0,73.0
PHI,29.0,13.0,70.0,82.0,1133.0,55.0
HOU,29.0,15.0,72.0,63.0,1062.0,58.0
ATL,17.0,13.0,57.0,58.0,1175.0,76.0
